SeqNo,pm_name,pm_Longitude,pm_Latitude,pm_unit,pm_location
862,錫口廊道,121.5799313646,25.0510065705,南港公園管理所,南港區南港路三段與八德路四段交界
41,聯成公園,121.5872192400,25.0465908050,南港公園管理所,忠孝東路六段250巷1弄
152,舊莊公園,121.6202697800,25.0413703920,南港公園管理所,舊莊街一段145巷12號前交通資訊:公車舊莊國小站步行約3分鐘
673,九如綠地,121.6163101200,25.0385608670,園藝工程隊(東區分隊),臺北市南港區研究院路二段150巷底、四分溪旁
603,四分綠地,121.6150019505,25.0358818875,園藝工程隊(東區分隊),左至研究院路三段68巷北側右至凌雲街北側
364,向陽綠地,121.5928726200,25.0569591520,園藝工程隊(東區分隊),臺北市南港區向陽路199巷旁、成功路1段79號
749,成福綠地,121.5929489100,25.0453701020,園藝工程隊(東區分隊),臺北市南港區東新街170巷口、南港公園旁
789,成德綠地,121.5874633800,25.0464496610,園藝工程隊(東區分隊),臺北市南港區東新街100號之1
72,東明綠地,121.6006927500,25.0542697910,園藝工程隊(東區分隊),臺北市南港路二段72巷21弄
640,東新綠地,121.6024475100,25.0535907750,園藝工程隊(東區分隊),臺北市南港區南港路二段104號
413,南深綠地,121.6231613200,25.0379295350,園藝工程隊(東區分隊),臺北市南港區舊莊街一段231號旁
667,南港29號綠地,121.6172332800,25.0423908230,園藝工程隊(東區分隊),臺北市南港區研究院路二段、舊莊街一段交叉路口
427,南港65號園區綠地,121.6142196700,25.0590305330,園藝工程隊(東區分隊),臺北市南港區三重路21巷
335,新坡綠地,121.6177520800,25.0356101990,園藝工程隊(東區分隊),臺北市南港區研究院路二段213巷2號前
205,新南綠地,121.6065521200,25.0518493650,園藝工程隊(東區分隊),臺北市南港區忠孝東路七段398號
692,新陽綠地,121.6034164400,25.0569305420,園藝工程隊(東區分隊),臺北市南港區興南街272巷3號對面
256,合心廣場,121.5834579500,25.0466098790,園藝工程隊(東區分隊),臺北市南港區玉成街與忠孝東路六段交叉口
216,南港五號廣場,121.5998001100,25.0540695190,園藝工程隊(東區分隊),臺北市南港區南港路二段以南，178巷對面
147,140高地,121.5696029700,25.0035800930,南港公園管理所,文山區萬寧街125號
36,久康公園,121.5645828200,24.9893493650,南港公園管理所,久康街39號
162,小坑1號公園,121.5852279700,24.9833793640,南港公園管理所,萬壽路旁，木柵二期重劃區內
356,文山(景美)49號公園,121.5478515600,24.9958896640,南港公園管理所,景華街128巷3弄旁
